2015-07-14 21:04:26,250 [Worker-73] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-07-14 23:48:06,978 [Worker-95] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-07-14 23:48:06,979 [Worker-95] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-07-14 23:48:06,980 [Worker-95] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-07-14 23:48:06,980 [Worker-95] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-07-14 23:48:17,408 [Worker-97] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-07-14 23:48:17,409 [Worker-97] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-07-14 23:48:17,409 [Worker-97] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-07-14 23:48:17,410 [Worker-97] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-07-15 00:22:18,935 [Stop Help Server] INFO  o.e.jetty.server.ServerConnector - Stopped ServerConnector@64d97408{HTTP/1.1}{127.0.0.1:0}
2015-07-15 00:22:18,947 [Stop Help Server] INFO  o.e.j.server.handler.ContextHandler - Stopped o.e.j.s.ServletContextHandler@bce2a9e{/help,null,UNAVAILABLE}
2015-07-15 09:10:39,978 [Start Help Server] INFO  org.eclipse.jetty.util.log - Logging initialized @353466ms
2015-07-15 09:10:40,106 [Start Help Server] INFO  org.eclipse.jetty.server.Server - jetty-9.2.9.v20150224
2015-07-15 09:10:40,156 [Start Help Server] INFO  o.e.j.server.handler.ContextHandler - Started o.e.j.s.ServletContextHandler@2d10c590{/help,null,AVAILABLE}
2015-07-15 09:10:40,165 [Start Help Server] INFO  o.e.jetty.server.ServerConnector - Started ServerConnector@66b1a993{HTTP/1.1}{127.0.0.1:49524}
2015-07-15 09:10:40,166 [Start Help Server] INFO  org.eclipse.jetty.server.Server - Started @353658ms
2015-07-15 09:14:09,921 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-07-15 09:14:09,927 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-07-15 09:14:09,930 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-07-15 09:14:09,930 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
